District,State,Region,Year,Season,Crop,Latitude,Longitude,SoilType,IrrigationLevel,Rainfall,Temperature,Humidity,SoilMoisture,NDVI_Flowering,WaterStress,PestRisk,SuitabilityScore,YieldIndex,Failure,RecommendedCrop,IsRecommendedCrop
Jaipur,Rajasthan,Northwest Dryland,2020,Kharif,Soybean,26.9124,75.7873,Sandy Loam,Medium,110.55,33.69,64.44,52.17,0.616,0.213,0.433,0.751,75.0,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2020,Rabi,Wheat,26.9124,75.7873,Sandy Loam,Medium,25.88,21.77,52.9,25.7,0.731,0.863,0.352,0.741,64.27,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2020,Rabi,Mustard,26.9124,75.7873,Sandy Loam,Medium,38.21,24.46,43.44,39.48,0.779,0.233,0.377,0.966,88.84,1,Mustard,1
Jaipur,Rajasthan,Northwest Dryland,2020,Rabi,Chickpea,26.9124,75.7873,Sandy Loam,Medium,61.54,27.23,39.09,38.81,0.732,0.101,0.399,0.858,85.52,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2020,Zaid,Groundnut,26.9124,75.7873,Sandy Loam,Medium,48.17,33.62,26.21,41.53,0.712,0.25,0.417,0.787,80.99,0,Millet,0
Jaipur,Rajasthan,Northwest Dryland,2020,Zaid,Millet,26.9124,75.7873,Sandy Loam,Medium,46.22,35.42,31.95,31.17,0.784,0.2,0.299,0.957,89.85,0,Millet,1
Jaipur,Rajasthan,Northwest Dryland,2021,Kharif,Rice,26.9124,75.7873,Sandy Loam,Medium,114.05,29.14,58.3,71.82,0.702,0.495,0.44,0.741,66.95,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2021,Kharif,Maize,26.9124,75.7873,Sandy Loam,Medium,129.32,36.81,64.24,61.51,0.704,0.131,0.476,0.772,79.96,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2021,Kharif,Cotton,26.9124,75.7873,Sandy Loam,Medium,101.15,34.72,54.67,67.37,0.764,0.128,0.393,0.812,82.58,0,Cotton,1
Jaipur,Rajasthan,Northwest Dryland,2021,Kharif,Soybean,26.9124,75.7873,Sandy Loam,Medium,144.18,34.4,51.11,49.89,0.605,0.23,0.458,0.671,77.37,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2021,Rabi,Wheat,26.9124,75.7873,Sandy Loam,Medium,58.87,25.16,40.9,48.93,0.662,0.279,0.32,0.749,83.85,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2021,Rabi,Mustard,26.9124,75.7873,Sandy Loam,Medium,44.86,26.79,45.48,37.86,0.786,0.234,0.395,0.953,88.44,0,Mustard,1
Jaipur,Rajasthan,Northwest Dryland,2021,Rabi,Chickpea,26.9124,75.7873,Sandy Loam,Medium,37.06,24.72,48.37,30.05,0.726,0.39,0.4,0.834,85.32,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2021,Zaid,Groundnut,26.9124,75.7873,Sandy Loam,Medium,50.87,40.42,32.56,18.0,0.616,0.627,0.475,0.645,56.17,1,Millet,0
Jaipur,Rajasthan,Northwest Dryland,2021,Zaid,Millet,26.9124,75.7873,Sandy Loam,Medium,29.29,36.27,37.67,34.21,0.683,0.212,0.4,0.901,88.53,0,Millet,1
Jaipur,Rajasthan,Northwest Dryland,2022,Kharif,Rice,26.9124,75.7873,Sandy Loam,Medium,109.4,33.3,61.32,59.83,0.62,0.697,0.474,0.669,67.18,0,Soybean,0
Jaipur,Rajasthan,Northwest Dryland,2022,Kharif,Maize,26.9124,75.7873,Sandy Loam,Medium,115.75,32.74,61.81,42.06,0.639,0.264,0.438,0.757,80.15,0,Soybean,0
Jaipur,Rajasthan,Northwest Dryland,2022,Kharif,Cotton,26.9124,75.7873,Sandy Loam,Medium,137.43,35.92,55.52,68.83,0.624,0.088,0.403,0.687,72.2,0,Soybean,0
Jaipur,Rajasthan,Northwest Dryland,2022,Kharif,Soybean,26.9124,75.7873,Sandy Loam,Medium,147.53,29.96,58.75,49.68,0.691,0.199,0.484,0.781,76.14,0,Soybean,1
Jaipur,Rajasthan,Northwest Dryland,2022,Rabi,Wheat,26.9124,75.7873,Sandy Loam,Medium,43.53,25.94,36.68,38.63,0.71,0.483,0.316,0.73,77.26,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2022,Rabi,Mustard,26.9124,75.7873,Sandy Loam,Medium,60.13,24.71,40.44,51.61,0.792,0.121,0.423,0.98,88.62,0,Mustard,1
Jaipur,Rajasthan,Northwest Dryland,2022,Rabi,Chickpea,26.9124,75.7873,Sandy Loam,Medium,59.02,23.17,26.87,19.42,0.709,0.391,0.417,0.84,84.46,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2022,Zaid,Groundnut,26.9124,75.7873,Sandy Loam,Medium,35.49,34.67,35.3,36.95,0.702,0.404,0.407,0.729,84.64,0,Millet,0
Jaipur,Rajasthan,Northwest Dryland,2022,Zaid,Millet,26.9124,75.7873,Sandy Loam,Medium,43.46,36.58,33.6,30.64,0.771,0.154,0.437,0.913,92.7,0,Millet,1
Jaipur,Rajasthan,Northwest Dryland,2023,Kharif,Rice,26.9124,75.7873,Sandy Loam,Medium,127.26,32.32,62.55,43.35,0.571,0.794,0.52,0.647,64.06,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2023,Kharif,Maize,26.9124,75.7873,Sandy Loam,Medium,72.57,31.8,72.94,61.48,0.68,0.295,0.478,0.721,74.2,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2023,Kharif,Cotton,26.9124,75.7873,Sandy Loam,Medium,125.51,34.47,51.18,65.18,0.664,0.079,0.499,0.777,79.77,0,Cotton,1
Jaipur,Rajasthan,Northwest Dryland,2023,Kharif,Soybean,26.9124,75.7873,Sandy Loam,Medium,143.28,33.29,57.81,70.52,0.617,0.093,0.476,0.678,67.86,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2023,Rabi,Wheat,26.9124,75.7873,Sandy Loam,Medium,72.37,19.73,32.49,22.51,0.696,0.558,0.33,0.767,72.43,1,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2023,Rabi,Mustard,26.9124,75.7873,Sandy Loam,Medium,65.31,26.46,40.7,40.45,0.845,0.125,0.375,0.967,88.68,0,Mustard,1
Jaipur,Rajasthan,Northwest Dryland,2023,Rabi,Chickpea,26.9124,75.7873,Sandy Loam,Medium,39.78,24.84,40.34,36.41,0.752,0.281,0.374,0.845,79.26,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2023,Zaid,Groundnut,26.9124,75.7873,Sandy Loam,Medium,18.83,35.15,35.83,24.8,0.595,0.744,0.46,0.663,61.32,0,Millet,0
Jaipur,Rajasthan,Northwest Dryland,2023,Zaid,Millet,26.9124,75.7873,Sandy Loam,Medium,23.5,34.65,26.5,37.72,0.753,0.217,0.394,0.975,97.94,0,Millet,1
Jaipur,Rajasthan,Northwest Dryland,2024,Kharif,Rice,26.9124,75.7873,Sandy Loam,Medium,149.14,29.37,47.03,54.61,0.696,0.563,0.344,0.733,73.26,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2024,Kharif,Maize,26.9124,75.7873,Sandy Loam,Medium,109.96,31.6,59.79,64.1,0.667,0.15,0.414,0.828,84.22,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2024,Kharif,Cotton,26.9124,75.7873,Sandy Loam,Medium,107.09,30.18,61.0,59.93,0.767,0.093,0.454,0.841,85.78,1,Cotton,1
Jaipur,Rajasthan,Northwest Dryland,2024,Kharif,Soybean,26.9124,75.7873,Sandy Loam,Medium,111.46,32.09,65.54,49.68,0.706,0.33,0.456,0.703,63.53,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2024,Rabi,Wheat,26.9124,75.7873,Sandy Loam,Medium,50.96,22.55,42.06,40.2,0.705,0.491,0.382,0.758,71.76,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2024,Rabi,Mustard,26.9124,75.7873,Sandy Loam,Medium,26.31,25.36,35.27,50.78,0.79,0.271,0.393,0.876,85.42,0,Mustard,1
Jaipur,Rajasthan,Northwest Dryland,2024,Rabi,Chickpea,26.9124,75.7873,Sandy Loam,Medium,73.4,24.29,26.16,35.86,0.702,0.163,0.274,0.816,76.4,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2024,Zaid,Groundnut,26.9124,75.7873,Sandy Loam,Medium,18.0,37.03,35.91,26.29,0.618,0.698,0.513,0.569,59.21,0,Millet,0
Jaipur,Rajasthan,Northwest Dryland,2024,Zaid,Millet,26.9124,75.7873,Sandy Loam,Medium,55.07,36.68,42.76,27.83,0.732,0.218,0.494,0.888,82.6,0,Millet,1
Jaipur,Rajasthan,Northwest Dryland,2025,Kharif,Rice,26.9124,75.7873,Sandy Loam,Medium,116.07,35.09,40.24,51.39,0.493,0.757,0.384,0.505,52.92,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2025,Kharif,Maize,26.9124,75.7873,Sandy Loam,Medium,103.51,32.87,63.34,50.19,0.689,0.275,0.496,0.734,74.63,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2025,Kharif,Cotton,26.9124,75.7873,Sandy Loam,Medium,119.81,32.54,47.49,45.49,0.689,0.168,0.425,0.791,85.68,0,Cotton,1
Jaipur,Rajasthan,Northwest Dryland,2025,Kharif,Soybean,26.9124,75.7873,Sandy Loam,Medium,105.23,36.21,57.98,64.14,0.598,0.135,0.472,0.648,74.93,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2025,Rabi,Wheat,26.9124,75.7873,Sandy Loam,Medium,56.53,26.71,43.65,23.04,0.639,0.679,0.355,0.603,52.82,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2025,Rabi,Mustard,26.9124,75.7873,Sandy Loam,Medium,82.76,26.14,35.4,28.85,0.729,0.263,0.455,0.871,91.27,0,Mustard,1
Jaipur,Rajasthan,Northwest Dryland,2025,Rabi,Chickpea,26.9124,75.7873,Sandy Loam,Medium,67.68,26.41,41.1,46.0,0.747,0.125,0.402,0.844,76.64,1,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2025,Zaid,Groundnut,26.9124,75.7873,Sandy Loam,Medium,21.52,39.0,46.1,42.87,0.665,0.431,0.459,0.635,61.55,1,Millet,0
Jaipur,Rajasthan,Northwest Dryland,2025,Zaid,Millet,26.9124,75.7873,Sandy Loam,Medium,21.16,35.19,33.44,46.38,0.751,0.263,0.406,0.898,84.38,0,Millet,1
Jaipur,Rajasthan,Northwest Dryland,2026,Kharif,Rice,26.9124,75.7873,Sandy Loam,Medium,108.06,30.25,59.58,61.13,0.615,0.721,0.492,0.623,64.85,1,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2026,Kharif,Maize,26.9124,75.7873,Sandy Loam,Medium,102.66,33.76,58.65,68.3,0.677,0.137,0.449,0.753,79.69,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2026,Kharif,Cotton,26.9124,75.7873,Sandy Loam,Medium,124.05,31.89,51.6,60.49,0.691,0.114,0.391,0.758,77.85,0,Cotton,1
Jaipur,Rajasthan,Northwest Dryland,2026,Kharif,Soybean,26.9124,75.7873,Sandy Loam,Medium,125.09,30.44,41.18,43.11,0.659,0.344,0.453,0.704,60.06,0,Cotton,0
Jaipur,Rajasthan,Northwest Dryland,2026,Rabi,Wheat,26.9124,75.7873,Sandy Loam,Medium,35.96,24.16,32.73,28.85,0.679,0.73,0.345,0.66,72.24,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2026,Rabi,Mustard,26.9124,75.7873,Sandy Loam,Medium,52.51,25.29,40.56,61.43,0.741,0.188,0.368,0.921,86.13,0,Mustard,1
Jaipur,Rajasthan,Northwest Dryland,2026,Rabi,Chickpea,26.9124,75.7873,Sandy Loam,Medium,58.46,25.03,40.36,39.4,0.732,0.085,0.323,0.817,84.33,0,Mustard,0
Jaipur,Rajasthan,Northwest Dryland,2026,Zaid,Groundnut,26.9124,75.7873,Sandy Loam,Medium,55.3,32.35,31.15,27.32,0.689,0.435,0.416,0.752,73.89,1,Millet,0
Jaipur,Rajasthan,Northwest Dryland,2026,Zaid,Millet,26.9124,75.7873,Sandy Loam,Medium,41.8,34.81,33.28,31.78,0.8,0.139,0.356,0.941,85.59,0,Millet,1
Jodhpur,Rajasthan,Northwest Dryland,2018,Kharif,Rice,26.2389,73.0243,Sandy,Low,87.1,29.2,35.07,51.34,0.574,0.973,0.372,0.556,57.72,1,Maize,0
Jodhpur,Rajasthan,Northwest Dryland,2018,Kharif,Maize,26.2389,73.0243,Sandy,Low,101.66,31.32,49.73,58.82,0.734,0.185,0.512,0.763,76.76,1,Maize,1
Jodhpur,Rajasthan,Northwest Dryland,2018,Kharif,Cotton,26.2389,73.0243,Sandy,Low,76.78,33.05,49.78,62.44,0.704,0.249,0.494,0.739,77.8,1,Maize,0
Jodhpur,Rajasthan,Northwest Dryland,2018,Kharif,Soybean,26.2389,73.0243,Sandy,Low,88.91,32.79,47.83,53.43,0.7,0.325,0.447,0.674,69.73,1,Maize,0
Jodhpur,Rajasthan,Northwest Dryland,2018,Rabi,Wheat,26.2389,73.0243,Sandy,Low,35.17,29.26,40.53,38.48,0.576,0.563,0.436,0.606,66.55,1,Chickpea,0
Jodhpur,Rajasthan,Northwest Dryland,2018,Rabi,Mustard,26.2389,73.0243,Sandy,Low,35.85,29.34,31.03,33.15,0.55,0.413,0.229,0.663,62.95,0,Chickpea,0
Jodhpur,Rajasthan,Northwest Dryland,2018,Rabi,Chickpea,26.2389,73.0243,Sandy,Low,18.0,25.13,38.59,32.13,0.72,0.477,0.442,0.833,77.91,0,Chickpea,1
Jodhpur,Rajasthan,Northwest Dryland,2018,Zaid,Groundnut,26.2389,73.0243,Sandy,Low,18.0,34.0,25.0,26.06,0.69,0.706,0.374,0.769,71.14,1,Groundnut,1
Jodhpur,Rajasthan,Northwest Dryland,2018,Zaid,Millet,26.2389,73.0243,Sandy,Low,18.0,39.43,25.0,20.67,0.692,0.441,0.409,0.745,76.49,1,Groundnut,0
Jodhpur,Rajasthan,Northwest Dryland,2019,Kharif,Rice,26.2389,73.0243,Sandy,Low,71.53,35.43,44.88,54.14,0.591,0.98,0.487,0.471,46.34,1,Soybean,0
Jodhpur,Rajasthan,Northwest Dryland,2019,Kharif,Maize,26.2389,73.0243,Sandy,Low,95.94,34.99,52.77,57.53,0.63,0.262,0.452,0.672,73.26,0,Soybean,0
Jodhpur,Rajasthan,Northwest Dryland,2019,Kharif,Cotton,26.2389,73.0243,Sandy,Low,106.1,35.53,38.36,69.54,0.586,0.099,0.377,0.657,74.8,1,Soybean,0
Jodhpur,Rajasthan,Northwest Dryland,2019,Kharif,Soybean,26.2389,73.0243,Sandy,Low,103.92,35.45,49.21,61.28,0.59,0.142,0.358,0.694,76.3,1,Soybean,1
Jodhpur,Rajasthan,Northwest Dryland,2019,Rabi,Wheat,26.2389,73.0243,Sandy,Low,47.0,27.15,25.5,39.88,0.619,0.51,0.33,0.622,69.25,1,Mustard,0
Jodhpur,Rajasthan,Northwest Dryland,2019,Rabi,Mustard,26.2389,73.0243,Sandy,Low,43.58,28.24,29.71,29.9,0.623,0.421,0.329,0.664,71.61,0,Mustard,1
Jodhpur,Rajasthan,Northwest Dryland,2019,Rabi,Chickpea,26.2389,73.0243,Sandy,Low,29.75,32.08,25.0,47.78,0.631,0.29,0.389,0.621,68.23,0,Mustard,0
Jodhpur,Rajasthan,Northwest Dryland,2019,Zaid,Groundnut,26.2389,73.0243,Sandy,Low,34.12,35.58,25.0,23.42,0.725,0.661,0.377,0.753,65.01,0,Millet,0
Jodhpur,Rajasthan,Northwest Dryland,2019,Zaid,Millet,26.2389,73.0243,Sandy,Low,18.0,37.5,34.23,54.47,0.732,0.304,0.41,0.768,78.9,0,Millet,1
Jodhpur,Rajasthan,Northwest Dryland,2020,Kharif,Rice,26.2389,73.0243,Sandy,Low,87.47,31.62,36.19,63.23,0.573,0.8,0.429,0.565,56.9,0,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2020,Kharif,Maize,26.2389,73.0243,Sandy,Low,92.93,38.17,50.46,65.79,0.662,0.271,0.483,0.642,71.84,0,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2020,Kharif,Cotton,26.2389,73.0243,Sandy,Low,72.31,32.95,56.12,64.72,0.707,0.205,0.443,0.823,82.07,1,Cotton,1
Jodhpur,Rajasthan,Northwest Dryland,2020,Kharif,Soybean,26.2389,73.0243,Sandy,Low,88.22,35.47,40.08,61.6,0.603,0.233,0.415,0.635,69.3,1,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2020,Rabi,Wheat,26.2389,73.0243,Sandy,Low,24.1,22.09,25.0,33.9,0.687,0.688,0.382,0.679,65.45,1,Chickpea,0
Jodhpur,Rajasthan,Northwest Dryland,2020,Rabi,Mustard,26.2389,73.0243,Sandy,Low,28.06,30.48,25.0,19.99,0.594,0.654,0.383,0.569,57.7,0,Chickpea,0
Jodhpur,Rajasthan,Northwest Dryland,2020,Rabi,Chickpea,26.2389,73.0243,Sandy,Low,30.94,28.82,30.91,31.51,0.675,0.402,0.431,0.732,61.89,1,Chickpea,1
Jodhpur,Rajasthan,Northwest Dryland,2020,Zaid,Groundnut,26.2389,73.0243,Sandy,Low,18.0,36.44,25.0,24.12,0.719,0.797,0.372,0.677,61.56,0,Millet,0
Jodhpur,Rajasthan,Northwest Dryland,2020,Zaid,Millet,26.2389,73.0243,Sandy,Low,18.0,34.8,25.0,19.2,0.721,0.519,0.398,0.826,70.66,0,Millet,1
Jodhpur,Rajasthan,Northwest Dryland,2021,Kharif,Rice,26.2389,73.0243,Sandy,Low,104.13,34.68,37.37,55.47,0.598,0.814,0.473,0.541,58.53,1,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2021,Kharif,Maize,26.2389,73.0243,Sandy,Low,124.94,39.01,38.4,50.59,0.595,0.196,0.413,0.638,73.25,0,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2021,Kharif,Cotton,26.2389,73.0243,Sandy,Low,83.21,33.13,40.84,76.25,0.707,0.164,0.407,0.751,75.33,1,Cotton,1
Jodhpur,Rajasthan,Northwest Dryland,2021,Kharif,Soybean,26.2389,73.0243,Sandy,Low,65.03,29.75,38.63,68.6,0.697,0.381,0.427,0.705,67.68,1,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2021,Rabi,Wheat,26.2389,73.0243,Sandy,Low,18.77,27.93,32.96,31.6,0.548,0.758,0.387,0.549,52.77,1,Mustard,0
Jodhpur,Rajasthan,Northwest Dryland,2021,Rabi,Mustard,26.2389,73.0243,Sandy,Low,37.89,30.11,37.94,27.99,0.65,0.495,0.398,0.721,69.08,1,Mustard,1
Jodhpur,Rajasthan,Northwest Dryland,2021,Rabi,Chickpea,26.2389,73.0243,Sandy,Low,18.0,28.83,39.62,29.62,0.644,0.482,0.425,0.72,70.65,1,Mustard,0
Jodhpur,Rajasthan,Northwest Dryland,2021,Zaid,Groundnut,26.2389,73.0243,Sandy,Low,31.99,37.21,30.57,28.42,0.673,0.578,0.432,0.743,73.32,1,Millet,0
Jodhpur,Rajasthan,Northwest Dryland,2021,Zaid,Millet,26.2389,73.0243,Sandy,Low,39.19,36.18,27.61,27.01,0.732,0.327,0.408,0.896,82.98,0,Millet,1
Jodhpur,Rajasthan,Northwest Dryland,2022,Kharif,Rice,26.2389,73.0243,Sandy,Low,61.77,36.45,47.42,60.0,0.509,0.98,0.477,0.396,43.3,1,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2022,Kharif,Maize,26.2389,73.0243,Sandy,Low,59.93,35.27,52.92,45.4,0.563,0.587,0.456,0.579,51.09,1,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2022,Kharif,Cotton,26.2389,73.0243,Sandy,Low,89.98,29.24,40.03,67.86,0.678,0.106,0.429,0.767,77.24,1,Cotton,1
Jodhpur,Rajasthan,Northwest Dryland,2022,Kharif,Soybean,26.2389,73.0243,Sandy,Low,123.38,34.25,49.63,46.12,0.63,0.311,0.44,0.694,65.23,0,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2022,Rabi,Wheat,26.2389,73.0243,Sandy,Low,32.69,23.2,28.13,41.94,0.606,0.557,0.354,0.662,68.72,1,Chickpea,0
Jodhpur,Rajasthan,Northwest Dryland,2022,Rabi,Mustard,26.2389,73.0243,Sandy,Low,38.53,32.66,27.5,29.62,0.622,0.422,0.338,0.601,76.28,0,Chickpea,0
Jodhpur,Rajasthan,Northwest Dryland,2022,Rabi,Chickpea,26.2389,73.0243,Sandy,Low,42.65,26.46,27.23,40.5,0.695,0.273,0.373,0.759,75.69,0,Chickpea,1
Jodhpur,Rajasthan,Northwest Dryland,2022,Zaid,Groundnut,26.2389,73.0243,Sandy,Low,18.0,36.17,31.41,18.13,0.66,0.839,0.358,0.732,71.77,0,Millet,0
Jodhpur,Rajasthan,Northwest Dryland,2022,Zaid,Millet,26.2389,73.0243,Sandy,Low,18.0,38.82,27.83,19.16,0.699,0.525,0.412,0.767,74.19,0,Millet,1
Jodhpur,Rajasthan,Northwest Dryland,2023,Kharif,Rice,26.2389,73.0243,Sandy,Low,48.13,34.0,45.85,43.98,0.555,0.98,0.444,0.411,39.65,1,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2023,Kharif,Maize,26.2389,73.0243,Sandy,Low,85.32,35.72,33.9,72.9,0.601,0.312,0.351,0.598,72.86,1,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2023,Kharif,Cotton,26.2389,73.0243,Sandy,Low,86.13,33.42,51.86,60.05,0.707,0.178,0.427,0.807,91.37,0,Cotton,1
Jodhpur,Rajasthan,Northwest Dryland,2023,Kharif,Soybean,26.2389,73.0243,Sandy,Low,115.89,32.83,62.6,65.96,0.691,0.123,0.459,0.772,81.69,0,Cotton,0
Jodhpur,Rajasthan,Northwest Dryland,2023,Rabi,Wheat,26.2389,73.0243,Sandy,Low,18.0,28.51,35.45,41.24,0.601,0.594,0.348,0.601,55.35,1,Chickpea,0
Jodhpur,Rajasthan,Northwest Dryland,2023,Rabi,Mustard,26.2389,73.0243,Sandy,Low,20.96,20.2,25.0,44.97,0.685,0.316,0.381,0.738,74.68,0,Chickpea,0
Jodhpur,Rajasthan,Northwest Dryland,2023,Rabi,Chickpea,26.2389,73.0243,Sandy,Low,52.26,26.03,25.0,33.4,0.706,0.244,0.405,0.81,80.0,0,Chickpea,1
Jodhpur,Rajasthan,Northwest Dryland,2023,Zaid,Groundnut,26.2389,73.0243,Sandy,Low,44.57,37.79,31.74,26.2,0.673,0.595,0.412,0.707,62.39,1,Millet,0
Jodhpur,Rajasthan,Northwest Dryland,2023,Zaid,Millet,26.2389,73.0243,Sandy,Low,18.0,37.24,32.88,31.89,0.683,0.322,0.495,0.768,69.25,1,Millet,1
Jodhpur,Rajasthan,Northwest Dryland,2024,Kharif,Rice,26.2389,73.0243,Sandy,Low,101.2,35.94,47.8,60.64,0.548,0.787,0.388,0.526,55.95,1,Soybean,0
