State,District,Latitude,Longitude,ResolvedLocation,CoordinateSource,Production,SelectionMethod,SelectionRank
Chhattisgarh,Janjgir-champa,21.894846877485346,82.73208484364048,Janjgir-Champa,geoBoundaries India ADM2 centroid,7082081.0,Top total DES-reported production across available reporting years,18
Punjab,Jalandhar,31.212063308313816,75.56837041116721,Jalandhar,geoBoundaries India ADM2 centroid,6988000.0,Top total DES-reported production across available reporting years,19
Tamil Nadu,Thanjavur,10.668328201255331,79.24425811222847,Thanjavur,geoBoundaries India ADM2 centroid,6958012.0,Top total DES-reported production across available reporting years,20
Telangana,Karimnagar,18.37597097917155,79.24486572878071,Karimnagar,geoBoundaries India ADM2 centroid,6949859.0,Top total DES-reported production across available reporting years,21
Odisha,Mayurbhanj,21.89486405126787,86.41200995195561,Mayurbhanj,geoBoundaries India ADM2 centroid,6806573.0,Top total DES-reported production across available reporting years,22
Tamil Nadu,Thiruvarur,10.680434087460858,79.53687063921394,Thiruvarur,geoBoundaries India ADM2 centroid,6729305.0,Top total DES-reported production across available reporting years,23
Punjab,Muktsar,30.29799288157158,74.54064722092657,Muktsar,geoBoundaries India ADM2 centroid,6718000.0,Top total DES-reported production across available reporting years,24
Punjab,Tarn taran,31.336883885989973,74.84178821790002,Tarn Taran,geoBoundaries India ADM2 centroid,6695000.0,Top total DES-reported production across available reporting years,25
West Bengal,Maldah,25.13952004400626,88.09010251561412,Maldah,geoBoundaries India ADM2 centroid,6693045.0,Top total DES-reported production across available reporting years,26
Uttar Pradesh,Shahjahanpur,27.95984145689227,79.82905051426162,Shahjahanpur,geoBoundaries India ADM2 centroid,6546249.0,Top total DES-reported production across available reporting years,27
Karnataka,Raichur,16.090359069268082,76.89388101179306,Raichur,geoBoundaries India ADM2 centroid,6538761.0,Top total DES-reported production across available reporting years,28
Telangana,Suryapet,17.08432877193315,79.75774206737448,Suryapet,geoBoundaries India ADM2 centroid,6411500.0,Top total DES-reported production across available reporting years,29
Haryana,Karnal,29.687971179833628,76.89486871073805,Karnal,geoBoundaries India ADM2 centroid,6323760.0,Top total DES-reported production across available reporting years,30
Madhya Pradesh,Balaghat,21.880829226126544,80.35513151961167,Balaghat,geoBoundaries India ADM2 centroid,6083741.0,Top total DES-reported production across available reporting years,31
Haryana,Kaithal,29.81205698466412,76.4170442443173,Kaithal,geoBoundaries India ADM2 centroid,6048140.0,Top total DES-reported production across available reporting years,32
Punjab,Gurdaspur,31.91616985571162,75.29371377844795,Gurdaspur,geoBoundaries India ADM2 centroid,5910000.0,Top total DES-reported production across available reporting years,33
Punjab,Amritsar,31.706156026128703,74.900497452654,Amritsar,geoBoundaries India ADM2 centroid,5842000.0,Top total DES-reported production across available reporting years,34
Odisha,Ganjam,19.62772937048724,84.67371936061599,Ganjam,geoBoundaries India ADM2 centroid,5682727.0,Top total DES-reported production across available reporting years,35
Madhya Pradesh,Rewa,24.751558992774736,81.58928308171846,Rewa,geoBoundaries India ADM2 centroid,5498486.0,Top total DES-reported production across available reporting years,36
Tamil Nadu,Tiruvannamalai,12.43367184935026,79.16865625344214,Tiruvannamalai,geoBoundaries India ADM2 centroid,5461047.0,Top total DES-reported production across available reporting years,37
Punjab,Barnala,30.38647546804211,75.50068209451841,Barnala,geoBoundaries India ADM2 centroid,5445000.0,Top total DES-reported production across available reporting years,38
Odisha,Kalahandi,19.868253526215224,83.10904887421434,Kalahandi,geoBoundaries India ADM2 centroid,5403517.0,Top total DES-reported production across available reporting years,39
Odisha,Baleshwar,21.496717791481057,86.91315627222545,Baleshwar,geoBoundaries India ADM2 centroid,5354238.0,Top total DES-reported production across available reporting years,40
Uttar Pradesh,Kheri,28.122075348503618,80.66726067937807,Kheri,geoBoundaries India ADM2 centroid,5274159.0,Top total DES-reported production across available reporting years,41
Uttar Pradesh,Barabanki,26.937725863455952,81.33411076754338,Bara Banki,geoBoundaries India ADM2 centroid,5240997.0,Top total DES-reported production across available reporting years,42
Tamil Nadu,Cuddalore,11.536192682252246,79.45270541498587,Cuddalore,geoBoundaries India ADM2 centroid,5171590.0,Top total DES-reported production across available reporting years,43
Andhra Pradesh,Srikakulam,18.59682559297307,84.01910339523481,Srikakulam,geoBoundaries India ADM2 centroid,5095746.0,Top total DES-reported production across available reporting years,44
Haryana,Kurukshetra,30.039225069444363,76.78499102792249,Kurukshetra,geoBoundaries India ADM2 centroid,5084240.0,Top total DES-reported production across available reporting years,45
Chhattisgarh,Dhamtari,20.556712264350317,81.81104693578898,Dhamtari,geoBoundaries India ADM2 centroid,5028718.0,Top total DES-reported production across available reporting years,46
Karnataka,Bellary,15.109483515695084,76.5361417703094,Bellary,geoBoundaries India ADM2 centroid,5022049.0,Top total DES-reported production across available reporting years,47
Telangana,Khammam,17.209373113534046,80.3653938941215,Khammam,geoBoundaries India ADM2 centroid,4903803.0,Top total DES-reported production across available reporting years,48
Punjab,Kapurthala,31.353051379854953,75.40345789853968,Kapurthala,geoBoundaries India ADM2 centroid,4891000.0,Top total DES-reported production across available reporting years,49
Uttar Pradesh,Azamgarh,26.046237665685055,83.07974850402874,Azamgarh,geoBoundaries India ADM2 centroid,4867094.0,Top total DES-reported production across available reporting years,50
Haryana,Fatehabad,29.575846481200724,75.58057912462931,Fatehabad,geoBoundaries India ADM2 centroid,4807270.0,Top total DES-reported production across available reporting years,51
Madhya Pradesh,Satna,24.5304600865736,80.83124806117443,Satna,geoBoundaries India ADM2 centroid,4783676.0,Top total DES-reported production across available reporting years,52
Chhattisgarh,Mahasamund,21.20414839495232,82.60457202864289,Mahasamund,geoBoundaries India ADM2 centroid,4700488.0,Top total DES-reported production across available reporting years,53
Punjab,Faridkot,30.610222868303147,74.78160165200046,Faridkot,geoBoundaries India ADM2 centroid,4694000.0,Top total DES-reported production across available reporting years,54
Chhattisgarh,Rajnandgaon,21.038706096606944,80.81968353192259,Rajnandgaon,geoBoundaries India ADM2 centroid,4673933.0,Top total DES-reported production across available reporting years,55
Punjab,Mansa,29.90820713218236,75.43996956110492,Mansa,geoBoundaries India ADM2 centroid,4669000.0,Top total DES-reported production across available reporting years,56
Uttar Pradesh,Siddharth nagar,27.273430000780333,82.86344391918092,Siddharthnagar,geoBoundaries India ADM2 centroid,4567327.0,Top total DES-reported production across available reporting years,57
Uttar Pradesh,Pilibhit,28.534750413534574,79.97523016979608,Pilibhit,geoBoundaries India ADM2 centroid,4556421.0,Top total DES-reported production across available reporting years,58
Chhattisgarh,Raipur,21.284527823259378,81.8203049299982,Raipur,geoBoundaries India ADM2 centroid,4378054.0,Top total DES-reported production across available reporting years,59
Uttar Pradesh,Allahabad,25.303092486865996,81.96136300049122,Allahabad,geoBoundaries India ADM2 centroid,4317839.0,Top total DES-reported production across available reporting years,60
Chhattisgarh,Baloda bazar,21.553992751183127,82.30810820147455,Baloda Bazar,geoBoundaries India ADM2 centroid,4248794.0,Top total DES-reported production across available reporting years,61
Odisha,Kendujhar,21.537622517759782,85.7047895887223,Kendujhar,geoBoundaries India ADM2 centroid,4179442.0,Top total DES-reported production across available reporting years,62
Telangana,Medak,17.955394591515116,78.25685850516787,Medak,geoBoundaries India ADM2 centroid,4170426.0,Top total DES-reported production across available reporting years,63
Chhattisgarh,Balod,20.738523566543563,81.18871354929118,Balod,geoBoundaries India ADM2 centroid,4104935.0,Top total DES-reported production across available reporting years,64
West Bengal,Jalpaiguri,26.68663276460142,88.76984600702465,Jalpaiguri,geoBoundaries India ADM2 centroid,4093743.0,Top total DES-reported production across available reporting years,65
Uttar Pradesh,Sitapur,27.517779275777812,80.85752661253565,Sitapur,geoBoundaries India ADM2 centroid,4064225.0,Top total DES-reported production across available reporting years,66
Assam,Nagaon,26.36289200858228,92.7620466046533,Nagaon,geoBoundaries India ADM2 centroid,4061289.0,Top total DES-reported production across available reporting years,67
Haryana,Jind,29.433607142669636,76.30787005277395,Jind,geoBoundaries India ADM2 centroid,4025580.0,Top total DES-reported production across available reporting years,68
Tamil Nadu,Nagapattinam,10.577816152444253,79.763630723555,Nagapattinam,geoBoundaries India ADM2 centroid,4006493.0,Top total DES-reported production across available reporting years,69
Telangana,Kamareddy,18.324270839097633,78.06246461622374,Kamareddy,geoBoundaries India ADM2 centroid,3997613.0,Top total DES-reported production across available reporting years,70
Madhya Pradesh,Hoshangabad,22.588290315175744,77.99298020647704,Hoshangabad,geoBoundaries India ADM2 centroid,3972358.0,Top total DES-reported production across available reporting years,71
Madhya Pradesh,Seoni,22.320582094298345,79.68891298203496,Seoni,geoBoundaries India ADM2 centroid,3957194.0,Top total DES-reported production across available reporting years,72
Uttar Pradesh,Bareilly,28.453571361680265,79.42376724570721,Bareilly,geoBoundaries India ADM2 centroid,3951692.0,Top total DES-reported production across available reporting years,73
Madhya Pradesh,Raisen,23.21703241589242,78.12248960030772,Raisen,geoBoundaries India ADM2 centroid,3951156.0,Top total DES-reported production across available reporting years,74
Uttar Pradesh,Bahraich,27.700616502017823,81.49463590258472,Bahraich,geoBoundaries India ADM2 centroid,3931803.0,Top total DES-reported production across available reporting years,75
Punjab,Fazilka,30.326246180044457,74.18889679099792,Fazilka,geoBoundaries India ADM2 centroid,3899000.0,Top total DES-reported production across available reporting years,76
Bihar,Kaimur (bhabua),24.989894200148154,83.60379742078108,Kaimur (Bhabua),geoBoundaries India ADM2 centroid,3878724.0,Top total DES-reported production across available reporting years,77
Tamil Nadu,Thiruvallur,13.239632855425251,79.94463523619392,Thiruvallur,geoBoundaries India ADM2 centroid,3861666.0,Top total DES-reported production across available reporting years,78
Uttar Pradesh,Ghazipur,25.622575217758257,83.5561391301021,Ghazipur,geoBoundaries India ADM2 centroid,3813876.0,Top total DES-reported production across available reporting years,79
Punjab,Fatehgarh sahib,30.64215065820013,76.37674391886118,Fatehgarh Sahib,geoBoundaries India ADM2 centroid,3800000.0,Top total DES-reported production across available reporting years,80
Uttar Pradesh,Rampur,28.79440181372785,79.12317091561688,Rampur,geoBoundaries India ADM2 centroid,3734683.0,Top total DES-reported production across available reporting years,81
Telangana,Siddipet,18.011431668436906,78.85431700103547,Siddipet,geoBoundaries India ADM2 centroid,3723707.0,Top total DES-reported production across available reporting years,82
Uttar Pradesh,Hardoi,27.328980555747663,80.1628861634464,Hardoi,geoBoundaries India ADM2 centroid,3694885.0,Top total DES-reported production across available reporting years,83
Odisha,Balangir,20.591022321491803,83.17416797972356,Balangir,geoBoundaries India ADM2 centroid,3663308.0,Top total DES-reported production across available reporting years,84
Jharkhand,Ranchi,23.326559689587214,85.37415849890922,Ranchi,geoBoundaries India ADM2 centroid,3656949.0,Top total DES-reported production across available reporting years,85
Jharkhand,Gumla,23.0880170079007,84.52464878356678,Gumla,geoBoundaries India ADM2 centroid,3644173.0,Top total DES-reported production across available reporting years,86
Uttar Pradesh,Jaunpur,25.746133391813807,82.57593617135512,Jaunpur,geoBoundaries India ADM2 centroid,3625351.0,Top total DES-reported production across available reporting years,87
Madhya Pradesh,Katni,23.751264132362387,80.408218689222,Katni,geoBoundaries India ADM2 centroid,3617853.0,Top total DES-reported production across available reporting years,88
Andhra Pradesh,Kurnool,15.53513853914728,78.00685302300933,Kurnool,geoBoundaries India ADM2 centroid,3611930.0,Top total DES-reported production across available reporting years,89
Maharashtra,Bhandara,21.110095618610895,79.76751026633377,Bhandara,geoBoundaries India ADM2 centroid,3577917.0,Top total DES-reported production across available reporting years,90
Andhra Pradesh,Vizianagaram,18.46330814569388,83.38338455199599,Vizianagaram,geoBoundaries India ADM2 centroid,3527275.0,Top total DES-reported production across available reporting years,91
Uttar Pradesh,Chandauli,25.137616688245384,83.26096988991786,Chandauli,geoBoundaries India ADM2 centroid,3516164.0,Top total DES-reported production across available reporting years,92
Odisha,Sundargarh,22.08016214169095,84.51032976245804,Sundargarh,geoBoundaries India ADM2 centroid,3515029.0,Top total DES-reported production across available reporting years,93
Gujarat,Ahmadabad,22.761087559557858,72.24774386705248,Ahmadabad,geoBoundaries India ADM2 centroid,3484210.0,Top total DES-reported production across available reporting years,94
Uttar Pradesh,Gorakhpur,26.657933363649843,83.36138710543345,Gorakhpur,geoBoundaries India ADM2 centroid,3477406.0,Top total DES-reported production across available reporting years,95
Telangana,Peddapalli,18.624808432708605,79.45751168510544,Peddapalli,geoBoundaries India ADM2 centroid,3410123.0,Top total DES-reported production across available reporting years,96
Haryana,Ambala,30.324767034623605,76.94225953222933,Ambala,geoBoundaries India ADM2 centroid,3399070.0,Top total DES-reported production across available reporting years,97
Odisha,Bhadrak,20.98681828107341,86.6195769186693,Bhadrak,geoBoundaries India ADM2 centroid,3365371.0,Top total DES-reported production across available reporting years,98
Odisha,Koraput,18.814848720083674,82.72099035697273,Koraput,geoBoundaries India ADM2 centroid,3363671.0,Top total DES-reported production across available reporting years,99
Madhya Pradesh,Mandla,22.637601835407033,80.50142516171897,Mandla,geoBoundaries India ADM2 centroid,3320352.0,Top total DES-reported production across available reporting years,100
Bihar,Pashchim champaran,27.07945030115401,84.34213730440152,Pashchim Champaran,geoBoundaries India ADM2 centroid,3284930.0,Top total DES-reported production across available reporting years,101
West Bengal,Jhargram,22.36370402361528,86.95702203884754,Jhargram,geoBoundaries India ADM2 centroid,3281390.0,Top total DES-reported production across available reporting years,102
Uttar Pradesh,Ambedkar nagar,26.420150201303155,82.67086829724511,Ambedkar Nagar,geoBoundaries India ADM2 centroid,3248070.0,Top total DES-reported production across available reporting years,103
Maharashtra,Kolhapur,16.47040201325805,74.16120297329063,Kolhapur,geoBoundaries India ADM2 centroid,3245544.0,Top total DES-reported production across available reporting years,104
Haryana,Sirsa,29.614625325380132,74.90137315228495,Sirsa,geoBoundaries India ADM2 centroid,3228140.0,Top total DES-reported production across available reporting years,105
Gujarat,Kheda,22.83767140827851,72.95452166514428,Kheda,geoBoundaries India ADM2 centroid,3212529.0,Top total DES-reported production across available reporting years,106
Madhya Pradesh,Jabalpur,23.23191548281415,79.97801703174895,Jabalpur,geoBoundaries India ADM2 centroid,3142119.0,Top total DES-reported production across available reporting years,107
Bihar,Bhojpur,25.478805817857413,84.53823392440381,Bhojpur,geoBoundaries India ADM2 centroid,3118003.0,Top total DES-reported production across available reporting years,108
Haryana,Yamunanagar,30.233989970405034,77.30308320120628,Yamunanagar,geoBoundaries India ADM2 centroid,3114890.0,Top total DES-reported production across available reporting years,109
Assam,Sonitpur,26.75947421997086,92.71090993456947,Sonitpur,geoBoundaries India ADM2 centroid,3087139.0,Top total DES-reported production across available reporting years,110
Karnataka,Yadgir,16.62710854607476,76.9143386258115,Yadgir,geoBoundaries India ADM2 centroid,3085965.0,Top total DES-reported production across available reporting years,111
Uttar Pradesh,Gonda,27.08414223921702,82.02555265097673,Gonda,geoBoundaries India ADM2 centroid,3020446.0,Top total DES-reported production across available reporting years,112
Chhattisgarh,Durg,21.213389828351666,81.38535024911378,Durg,geoBoundaries India ADM2 centroid,2996762.0,Top total DES-reported production across available reporting years,113
Gujarat,Anand,22.457212949419972,72.7923386388295,Anand,geoBoundaries India ADM2 centroid,2959796.0,Top total DES-reported production across available reporting years,114
Odisha,Cuttack,20.451457230271558,85.70405911514223,Cuttack,geoBoundaries India ADM2 centroid,2946196.0,Top total DES-reported production across available reporting years,115
Uttar Pradesh,Kushi nagar,26.86178976839776,83.93475059728844,Kushinagar,geoBoundaries India ADM2 centroid,2936183.0,Top total DES-reported production across available reporting years,116
Odisha,Sambalpur,21.453578404950512,84.27575285918188,Sambalpur,geoBoundaries India ADM2 centroid,2925427.0,Top total DES-reported production across available reporting years,117
Haryana,Sonipat,29.06027848095621,76.87827732943548,Sonipat,geoBoundaries India ADM2 centroid,2910100.0,Top total DES-reported production across available reporting years,118
Tamil Nadu,Tirunelveli,8.573333354087374,77.6001297406504,Tirunelveli,geoBoundaries India ADM2 centroid,2898879.0,Top total DES-reported production across available reporting years,119
Uttar Pradesh,Deoria,26.422669544917127,83.83663695494207,Deoria,geoBoundaries India ADM2 centroid,2866406.0,Top total DES-reported production across available reporting years,120
Karnataka,Mysore,12.203853661509596,76.44525502665984,Mysore,geoBoundaries India ADM2 centroid,2815255.0,Top total DES-reported production across available reporting years,121
Punjab,Hoshiarpur,31.625919871903577,75.86003515315858,Hoshiarpur,geoBoundaries India ADM2 centroid,2797000.0,Top total DES-reported production across available reporting years,122
Uttar Pradesh,Ballia,25.875172298171925,84.10522222201254,Ballia,geoBoundaries India ADM2 centroid,2785414.0,Top total DES-reported production across available reporting years,123
Assam,Barpeta,26.342567772881452,91.00320913384648,Barpeta,geoBoundaries India ADM2 centroid,2770359.0,Top total DES-reported production across available reporting years,124
Uttar Pradesh,Basti,26.82122608592043,82.61721146716522,Basti,geoBoundaries India ADM2 centroid,2765891.0,Top total DES-reported production across available reporting years,125
Bihar,Nalanda,25.21712383446418,85.45664747816339,Nalanda,geoBoundaries India ADM2 centroid,2755675.0,Top total DES-reported production across available reporting years,126
Karnataka,Koppal,15.557816929188498,76.22363631368484,Koppal,geoBoundaries India ADM2 centroid,2749340.0,Top total DES-reported production across available reporting years,127
Uttar Pradesh,Amethi,26.332810460242474,81.68734321458867,Amethi,geoBoundaries India ADM2 centroid,2748877.0,Top total DES-reported production across available reporting years,128
Madhya Pradesh,Shahdol,23.620373387309286,81.47455557172326,Shahdol,geoBoundaries India ADM2 centroid,2743759.0,Top total DES-reported production across available reporting years,129
Bihar,Banka,24.85107552852896,86.83509358196272,Banka,geoBoundaries India ADM2 centroid,2678420.0,Top total DES-reported production across available reporting years,130
Bihar,Buxar,25.482963518021993,84.08260362202066,Buxar,geoBoundaries India ADM2 centroid,2674240.0,Top total DES-reported production across available reporting years,131
Karnataka,Shimoga,14.041076863112622,75.22685628769975,Shimoga,geoBoundaries India ADM2 centroid,2664195.0,Top total DES-reported production across available reporting years,132
Assam,Kamrup,26.10838140284657,91.40253369384278,Kamrup,geoBoundaries India ADM2 centroid,2660903.0,Top total DES-reported production across available reporting years,133
Andhra Pradesh,Prakasam,15.621444276306642,79.51763208455112,Prakasam,geoBoundaries India ADM2 centroid,2654591.0,Top total DES-reported production across available reporting years,134
Odisha,Puri,19.878600610314283,85.72123857871163,Puri,geoBoundaries India ADM2 centroid,2654384.0,Top total DES-reported production across available reporting years,135
Assam,Golaghat,26.442567196744214,93.82791324118135,Golaghat,geoBoundaries India ADM2 centroid,2619513.0,Top total DES-reported production across available reporting years,136
Bihar,Madhubani,26.402364732301564,86.22235987281796,Madhubani,geoBoundaries India ADM2 centroid,2611018.0,Top total DES-reported production across available reporting years,137
Uttar Pradesh,Bulandshahr,28.34921344650938,77.99690901610967,Bulandshahr,geoBoundaries India ADM2 centroid,2598031.0,Top total DES-reported production across available reporting years,138
Maharashtra,Gadchiroli,19.78550769907559,80.24134739387335,Gadchiroli,geoBoundaries India ADM2 centroid,2577431.0,Top total DES-reported production across available reporting years,139
Uttar Pradesh,Faizabad,26.653725280234735,81.99890392276434,Faizabad,geoBoundaries India ADM2 centroid,2557016.0,Top total DES-reported production across available reporting years,140
Uttar Pradesh,Sultanpur,26.242464904320958,82.22670088812941,Sultanpur,geoBoundaries India ADM2 centroid,2551695.0,Top total DES-reported production across available reporting years,141
Chhattisgarh,Mungeli,22.188916223704798,81.71392757654601,Mungeli,geoBoundaries India ADM2 centroid,2521929.0,Top total DES-reported production across available reporting years,142
Uttar Pradesh,Moradabad,28.91419416278176,78.78543566703095,Moradabad,geoBoundaries India ADM2 centroid,2420842.0,Top total DES-reported production across available reporting years,143
Bihar,Gaya,24.705617712395693,84.94961000301579,Gaya,geoBoundaries India ADM2 centroid,2387308.0,Top total DES-reported production across available reporting years,144
Uttar Pradesh,Rae bareli,26.20314244675157,81.19098124573802,Rae Bareli,geoBoundaries India ADM2 centroid,2372977.0,Top total DES-reported production across available reporting years,145
Assam,Lakhimpur,27.1653286565423,94.11873814144253,Lakhimpur,geoBoundaries India ADM2 centroid,2360659.0,Top total DES-reported production across available reporting years,146
Uttar Pradesh,Mirzapur,24.987143721053283,82.60942997550028,Mirzapur,geoBoundaries India ADM2 centroid,2331731.0,Top total DES-reported production across available reporting years,147
Chhattisgarh,Jashpur,22.8008143237967,83.86623030811558,Jashpur,geoBoundaries India ADM2 centroid,2277871.0,Top total DES-reported production across available reporting years,148
Assam,Dhubri,26.18167943665127,90.04995845631517,Dhubri,geoBoundaries India ADM2 centroid,2273701.0,Top total DES-reported production across available reporting years,149
Odisha,Dhenkanal,20.82691996896052,85.5307779767147,Dhenkanal,geoBoundaries India ADM2 centroid,2271514.0,Top total DES-reported production across available reporting years,150
Tamil Nadu,Pudukkottai,10.360455939309238,78.87969201213394,Pudukkottai,geoBoundaries India ADM2 centroid,2261541.0,Top total DES-reported production across available reporting years,151
Kerala,Palakkad,10.795980686213237,76.55898562527551,Palakkad,geoBoundaries India ADM2 centroid,2234228.0,Top total DES-reported production across available reporting years,152
Odisha,Kendrapara,20.55336933637808,86.60560755930887,Kendrapara,geoBoundaries India ADM2 centroid,2213990.0,Top total DES-reported production across available reporting years,153
Uttar Pradesh,Fatehpur,25.87355913005714,80.80736287437959,Fatehpur,geoBoundaries India ADM2 centroid,2212336.0,Top total DES-reported production across available reporting years,154
Chhattisgarh,Bastar,19.106506565126733,81.87601599713594,Bastar,geoBoundaries India ADM2 centroid,2203897.0,Top total DES-reported production across available reporting years,155
Assam,Cachar,24.811453468134726,92.8539962793535,Cachar,geoBoundaries India ADM2 centroid,2193289.0,Top total DES-reported production across available reporting years,156
Maharashtra,Ratnagiri,17.273360949916974,73.4573270402005,Ratnagiri,geoBoundaries India ADM2 centroid,2189594.0,Top total DES-reported production across available reporting years,157
Tamil Nadu,Tiruchirappalli,10.890111046963298,78.57082247521743,Tiruchirappalli,geoBoundaries India ADM2 centroid,2163230.0,Top total DES-reported production across available reporting years,158
Uttar Pradesh,Aligarh,27.91690295048742,78.06375670623694,Aligarh,geoBoundaries India ADM2 centroid,2163034.0,Top total DES-reported production across available reporting years,159
Haryana,Panipat,29.33331926793569,76.9269216882411,Panipat,geoBoundaries India ADM2 centroid,2159940.0,Top total DES-reported production across available reporting years,160
Odisha,Malkangiri,18.258820899133514,81.95638892449928,Malkangiri,geoBoundaries India ADM2 centroid,2124256.0,Top total DES-reported production across available reporting years,161
Bihar,Katihar,25.546585243866723,87.64701368329604,Katihar,geoBoundaries India ADM2 centroid,2113728.0,Top total DES-reported production across available reporting years,162
Andhra Pradesh,Chittoor,13.469107037160565,79.01195995829157,Chittoor,geoBoundaries India ADM2 centroid,2104643.0,Top total DES-reported production across available reporting years,163
Madhya Pradesh,Anuppur,23.03972518408522,81.67486894794472,Anuppur,geoBoundaries India ADM2 centroid,2100748.0,Top total DES-reported production across available reporting years,164
Madhya Pradesh,Gwalior,26.037657275407717,78.14866872441542,Gwalior,geoBoundaries India ADM2 centroid,2075895.0,Top total DES-reported production across available reporting years,165
Assam,Baksa,26.661941404463416,91.36089394006692,Baksa,geoBoundaries India ADM2 centroid,2058258.0,Top total DES-reported production across available reporting years,166
Odisha,Jajapur,20.852204133904696,86.1486146649352,Jajapur,geoBoundaries India ADM2 centroid,2041211.0,Top total DES-reported production across available reporting years,167
Uttar Pradesh,Unnao,26.60936123937366,80.55960119285953,Unnao,geoBoundaries India ADM2 centroid,2033662.0,Top total DES-reported production across available reporting years,168
Telangana,Mahabubabad,17.668132370991245,79.98355032263227,Mahabubabad,geoBoundaries India ADM2 centroid,2007038.0,Top total DES-reported production across available reporting years,169
Uttar Pradesh,Mau,26.040465068290445,83.5749461708136,Mau,geoBoundaries India ADM2 centroid,2006613.0,Top total DES-reported production across available reporting years,170
Telangana,Wanaparthy,16.29211358408942,78.03518550454605,Wanaparthy,geoBoundaries India ADM2 centroid,1999071.0,Top total DES-reported production across available reporting years,171
Karnataka,Mandya,12.613320775034936,76.79790282424729,Mandya,geoBoundaries India ADM2 centroid,1998896.0,Top total DES-reported production across available reporting years,172
Assam,Goalpara,26.05501351502396,90.60475686987208,Goalpara,geoBoundaries India ADM2 centroid,1976560.0,Top total DES-reported production across available reporting years,173
Bihar,Nawada,24.823215859244563,85.59125846794016,Nawada,geoBoundaries India ADM2 centroid,1974645.0,Top total DES-reported production across available reporting years,174
Maharashtra,Chandrapur,20.118525449164885,79.44424659327971,Chandrapur,geoBoundaries India ADM2 centroid,1973171.0,Top total DES-reported production across available reporting years,175
Haryana,Hisar,29.215555637421623,75.8159399845783,Hisar,geoBoundaries India ADM2 centroid,1964920.0,Top total DES-reported production across available reporting years,176
Tamil Nadu,Ramanathapuram,9.432814391662442,78.69099581033717,Ramanathapuram,geoBoundaries India ADM2 centroid,1957423.0,Top total DES-reported production across available reporting years,177
Bihar,Supaul,26.24677623402656,86.80568697747948,Supaul,geoBoundaries India ADM2 centroid,1952175.0,Top total DES-reported production across available reporting years,178
Maharashtra,Sindhudurg,16.13324170032783,73.73995825284901,Sindhudurg,geoBoundaries India ADM2 centroid,1941044.0,Top total DES-reported production across available reporting years,179
Assam,Jorhat,26.6970177729198,94.27597235000901,Jorhat,geoBoundaries India ADM2 centroid,1925407.0,Top total DES-reported production across available reporting years,180
Odisha,Khordha,20.097395587209764,85.51951912012466,Khordha,geoBoundaries India ADM2 centroid,1912110.0,Top total DES-reported production across available reporting years,181
