State,District,Error
Karnataka,Vijayanagar,No exact ADM2 boundary match
Madhya Pradesh,Agar malwa,No exact ADM2 boundary match
Madhya Pradesh,Khandwa,No exact ADM2 boundary match
Madhya Pradesh,Khargone,No exact ADM2 boundary match
Madhya Pradesh,Narsinghpur,No exact ADM2 boundary match
Maharashtra,Ahilyanagar,No exact ADM2 boundary match
Maharashtra,Beed,No exact ADM2 boundary match
Maharashtra,Buldhana,No exact ADM2 boundary match
Maharashtra,Chhatrapati Sambhajinagar,No exact ADM2 boundary match
Maharashtra,Dharashiv,No exact ADM2 boundary match
Maharashtra,Gondia,No exact ADM2 boundary match
Maharashtra,Raigad,No exact ADM2 boundary match
Nagaland,Chumoukedima,No exact ADM2 boundary match
Nagaland,Noklak,No exact ADM2 boundary match
Nagaland,Nuiland,No exact ADM2 boundary match
Nagaland,Shamator,No exact ADM2 boundary match
Nagaland,Tseminyu,No exact ADM2 boundary match
Odisha,Boudh,No exact ADM2 boundary match
Odisha,Deogarh,No exact ADM2 boundary match
Odisha,Nabarangpur,No exact ADM2 boundary match
Odisha,Sonepur,No exact ADM2 boundary match
Puducherry,Pondicherry,No exact ADM2 boundary match
Punjab,Firozepur,No exact ADM2 boundary match
Punjab,Malerkotla,No exact ADM2 boundary match
Punjab,Nawanshahr,No exact ADM2 boundary match
Punjab,S.a.s nagar,No exact ADM2 boundary match
Rajasthan,Chittorgarh,No exact ADM2 boundary match
Rajasthan,Dholpur,No exact ADM2 boundary match
Rajasthan,Pratapgarh,Ambiguous ADM2 boundary name
Sikkim,Gangtok,No exact ADM2 boundary match
Sikkim,Geyzing,No exact ADM2 boundary match
Sikkim,Mangan,No exact ADM2 boundary match
Sikkim,Namchi,No exact ADM2 boundary match
Sikkim,Pakyong,No exact ADM2 boundary match
Sikkim,Soreng,No exact ADM2 boundary match
Tamil Nadu,Chengalpattu,No exact ADM2 boundary match
Tamil Nadu,Kanchipuram,No exact ADM2 boundary match
Tamil Nadu,Thenkasi,No exact ADM2 boundary match
Tamil Nadu,Thoothukudi,No exact ADM2 boundary match
Tamil Nadu,Villupuram,No exact ADM2 boundary match
Telangana,Jagitial,No exact ADM2 boundary match
Telangana,Jangoan,No exact ADM2 boundary match
Telangana,Komaram bheem asifabad,No exact ADM2 boundary match
Telangana,Mahbubnagar,No exact ADM2 boundary match
Telangana,Narayanapet,No exact ADM2 boundary match
Telangana,Rajanna,No exact ADM2 boundary match
Telangana,Rangareddi,No exact ADM2 boundary match
Telangana,Warangal,No exact ADM2 boundary match
Telangana,Warangal urban,No exact ADM2 boundary match
Telangana,Yadadri,No exact ADM2 boundary match
The Dadra & Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,No exact ADM2 boundary match
Tripura,Sepahijala,No exact ADM2 boundary match
Tripura,Unakoti,No exact ADM2 boundary match
Uttar Pradesh,Amroha,No exact ADM2 boundary match
Uttar Pradesh,Balrampur,Ambiguous ADM2 boundary name
Uttar Pradesh,Hamirpur,Ambiguous ADM2 boundary name
Uttar Pradesh,Hathras,No exact ADM2 boundary match
Uttar Pradesh,Kasganj,No exact ADM2 boundary match
Uttar Pradesh,Maharajganj,No exact ADM2 boundary match
Uttar Pradesh,Pratapgarh,Ambiguous ADM2 boundary name
Uttar Pradesh,Sant kabeer nagar,No exact ADM2 boundary match
Uttar Pradesh,Sant ravidas nagar,No exact ADM2 boundary match
Uttar Pradesh,Shamli,No exact ADM2 boundary match
Uttar Pradesh,Shravasti,No exact ADM2 boundary match
Uttarakhand,Haridwar,No exact ADM2 boundary match
Uttarakhand,Pauri garhwal,No exact ADM2 boundary match
Uttarakhand,Udam singh nagar,No exact ADM2 boundary match
West Bengal,24 paraganas north,No exact ADM2 boundary match
West Bengal,24 paraganas south,No exact ADM2 boundary match
West Bengal,Coochbehar,No exact ADM2 boundary match
West Bengal,Darjeeling,No exact ADM2 boundary match
West Bengal,Dinajpur dakshin,No exact ADM2 boundary match
West Bengal,Dinajpur uttar,No exact ADM2 boundary match
West Bengal,Hooghly,No exact ADM2 boundary match
West Bengal,Howrah,No exact ADM2 boundary match
West Bengal,Medinipur east,No exact ADM2 boundary match
West Bengal,Medinipur west,No exact ADM2 boundary match
West Bengal,Paschim bardhaman,No exact ADM2 boundary match
West Bengal,Purba bardhaman,No exact ADM2 boundary match
West Bengal,Purulia,No exact ADM2 boundary match
