Date,State,District,Latitude,Longitude,ResolvedLocation,Rainfall,Temperature,WeatherDataSource
2013-01-30,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,16.1,Open-Meteo Historical Weather API
2013-01-31,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,17.9,Open-Meteo Historical Weather API
2013-02-01,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,18.5,Open-Meteo Historical Weather API
2013-02-02,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,18.2,Open-Meteo Historical Weather API
2013-02-03,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,18.2,Open-Meteo Historical Weather API
2013-02-04,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,18.6,Open-Meteo Historical Weather API
2013-02-05,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,20.0,Open-Meteo Historical Weather API
2013-02-06,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,20.1,Open-Meteo Historical Weather API
2013-02-07,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.8,20.7,Open-Meteo Historical Weather API
2013-02-08,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,17.2,Open-Meteo Historical Weather API
2013-02-09,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,16.4,Open-Meteo Historical Weather API
2013-02-10,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,16.8,Open-Meteo Historical Weather API
2013-02-11,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,17.4,Open-Meteo Historical Weather API
2013-02-12,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,18.0,Open-Meteo Historical Weather API
2013-02-13,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,19.4,Open-Meteo Historical Weather API
2013-02-14,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,19.3,Open-Meteo Historical Weather API
2013-02-15,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,18.2,Open-Meteo Historical Weather API
2013-02-16,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,14.0,18.0,Open-Meteo Historical Weather API
2013-02-17,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.6,18.3,Open-Meteo Historical Weather API
2013-02-18,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,17.7,Open-Meteo Historical Weather API
2013-02-19,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,17.7,Open-Meteo Historical Weather API
2013-02-20,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,18.3,Open-Meteo Historical Weather API
2013-02-21,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,18.8,Open-Meteo Historical Weather API
2013-02-22,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,19.6,Open-Meteo Historical Weather API
2013-02-23,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,21.4,Open-Meteo Historical Weather API
2013-02-24,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.5,22.8,Open-Meteo Historical Weather API
2013-02-25,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,21.4,Open-Meteo Historical Weather API
2013-02-26,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,21.6,Open-Meteo Historical Weather API
2013-02-27,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,21.9,Open-Meteo Historical Weather API
2013-02-28,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,24.2,Open-Meteo Historical Weather API
2013-03-01,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,21.6,Open-Meteo Historical Weather API
2013-03-02,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,21.0,Open-Meteo Historical Weather API
2013-03-03,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,22.2,Open-Meteo Historical Weather API
2013-03-04,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,23.7,Open-Meteo Historical Weather API
2013-03-05,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,24.9,Open-Meteo Historical Weather API
2013-03-06,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,25.0,Open-Meteo Historical Weather API
2013-03-07,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,24.8,Open-Meteo Historical Weather API
2013-03-08,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,25.3,Open-Meteo Historical Weather API
2013-03-09,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,25.1,Open-Meteo Historical Weather API
2013-03-10,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,25.3,Open-Meteo Historical Weather API
2013-03-11,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.1,26.0,Open-Meteo Historical Weather API
2013-03-12,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,25.5,Open-Meteo Historical Weather API
2013-03-13,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,26.1,Open-Meteo Historical Weather API
2013-03-14,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,26.8,Open-Meteo Historical Weather API
2013-03-15,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,28.1,Open-Meteo Historical Weather API
2013-03-16,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,27.2,Open-Meteo Historical Weather API
2013-03-17,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,25.0,Open-Meteo Historical Weather API
2013-03-18,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,24.9,Open-Meteo Historical Weather API
2013-03-19,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,25.0,Open-Meteo Historical Weather API
2013-03-20,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,26.3,Open-Meteo Historical Weather API
2013-03-21,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.2,26.7,Open-Meteo Historical Weather API
2013-03-22,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,26.2,Open-Meteo Historical Weather API
2013-03-23,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,26.1,Open-Meteo Historical Weather API
2013-03-24,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,27.4,Open-Meteo Historical Weather API
2013-03-25,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,29.1,Open-Meteo Historical Weather API
2013-03-26,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,27.8,Open-Meteo Historical Weather API
2013-03-27,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,27.4,Open-Meteo Historical Weather API
2013-03-28,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.2,27.8,Open-Meteo Historical Weather API
2013-03-29,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,28.5,Open-Meteo Historical Weather API
2013-03-30,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,28.9,Open-Meteo Historical Weather API
2013-03-31,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,28.0,Open-Meteo Historical Weather API
2013-04-01,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,28.5,Open-Meteo Historical Weather API
2013-04-02,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,29.5,Open-Meteo Historical Weather API
2013-04-03,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,30.6,Open-Meteo Historical Weather API
2013-04-04,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,30.5,Open-Meteo Historical Weather API
2013-04-05,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,29.5,Open-Meteo Historical Weather API
2013-04-06,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,28.7,Open-Meteo Historical Weather API
2013-04-07,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,29.1,Open-Meteo Historical Weather API
2013-04-08,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,29.9,Open-Meteo Historical Weather API
2013-04-09,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,30.5,Open-Meteo Historical Weather API
2013-04-10,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.5,Open-Meteo Historical Weather API
2013-04-11,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,33.0,Open-Meteo Historical Weather API
2013-04-12,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,32.8,Open-Meteo Historical Weather API
2013-04-13,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,33.2,Open-Meteo Historical Weather API
2013-04-14,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,32.5,Open-Meteo Historical Weather API
2013-04-15,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.2,Open-Meteo Historical Weather API
2013-04-16,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,29.6,Open-Meteo Historical Weather API
2013-04-17,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,28.0,Open-Meteo Historical Weather API
2013-04-18,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,29.2,Open-Meteo Historical Weather API
2013-04-19,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,30.0,Open-Meteo Historical Weather API
2013-04-20,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,9.8,26.4,Open-Meteo Historical Weather API
2013-04-21,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,31.4,22.1,Open-Meteo Historical Weather API
2013-04-22,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,40.8,22.4,Open-Meteo Historical Weather API
2013-04-23,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,24.8,Open-Meteo Historical Weather API
2013-04-24,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.3,26.3,Open-Meteo Historical Weather API
2013-04-25,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.8,27.6,Open-Meteo Historical Weather API
2013-04-26,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,28.9,Open-Meteo Historical Weather API
2013-04-27,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,30.1,Open-Meteo Historical Weather API
2013-04-28,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,28.6,Open-Meteo Historical Weather API
2013-04-29,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,29.1,Open-Meteo Historical Weather API
2013-04-30,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,30.8,Open-Meteo Historical Weather API
2013-05-01,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,32.2,Open-Meteo Historical Weather API
2013-05-02,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,32.3,Open-Meteo Historical Weather API
2013-05-03,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.0,Open-Meteo Historical Weather API
2013-05-04,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,30.6,Open-Meteo Historical Weather API
2013-05-05,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,29.6,Open-Meteo Historical Weather API
2013-05-06,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,29.1,Open-Meteo Historical Weather API
2013-05-07,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,30.0,Open-Meteo Historical Weather API
2013-05-08,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,30.7,Open-Meteo Historical Weather API
2013-05-09,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.5,Open-Meteo Historical Weather API
2013-05-10,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.5,Open-Meteo Historical Weather API
2013-05-11,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.9,Open-Meteo Historical Weather API
2013-05-12,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.5,31.6,Open-Meteo Historical Weather API
2013-05-13,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.5,Open-Meteo Historical Weather API
2013-05-14,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.4,Open-Meteo Historical Weather API
2013-05-15,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,32.0,Open-Meteo Historical Weather API
2013-05-16,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.8,Open-Meteo Historical Weather API
2013-05-17,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.3,Open-Meteo Historical Weather API
2013-05-18,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.5,Open-Meteo Historical Weather API
2013-05-19,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.6,31.2,Open-Meteo Historical Weather API
2013-05-20,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.6,29.1,Open-Meteo Historical Weather API
2013-05-21,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.0,Open-Meteo Historical Weather API
2013-05-22,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.3,31.8,Open-Meteo Historical Weather API
2013-05-23,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.8,30.3,Open-Meteo Historical Weather API
2013-05-24,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.5,30.5,Open-Meteo Historical Weather API
2013-05-25,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.6,Open-Meteo Historical Weather API
2013-05-26,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.9,32.1,Open-Meteo Historical Weather API
2013-05-27,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,10.9,28.6,Open-Meteo Historical Weather API
2013-05-28,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,2.4,28.9,Open-Meteo Historical Weather API
2013-05-29,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.3,29.6,Open-Meteo Historical Weather API
2013-05-30,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,13.1,26.5,Open-Meteo Historical Weather API
2013-05-31,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,90.0,24.6,Open-Meteo Historical Weather API
2013-06-01,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,12.8,25.6,Open-Meteo Historical Weather API
2013-06-02,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.3,28.8,Open-Meteo Historical Weather API
2013-06-03,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.3,30.5,Open-Meteo Historical Weather API
2013-06-04,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,9.0,29.4,Open-Meteo Historical Weather API
2013-06-05,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,2.0,28.4,Open-Meteo Historical Weather API
2013-06-06,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,21.3,27.8,Open-Meteo Historical Weather API
2013-06-07,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,5.3,27.9,Open-Meteo Historical Weather API
2013-06-08,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,2.6,28.6,Open-Meteo Historical Weather API
2013-06-09,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,7.2,29.3,Open-Meteo Historical Weather API
2013-06-10,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.7,29.7,Open-Meteo Historical Weather API
2013-06-11,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.3,30.5,Open-Meteo Historical Weather API
2013-06-12,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,31.4,Open-Meteo Historical Weather API
2013-06-13,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.0,30.2,Open-Meteo Historical Weather API
2013-06-14,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,6.8,28.9,Open-Meteo Historical Weather API
2013-06-15,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,13.8,27.9,Open-Meteo Historical Weather API
2013-06-16,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,9.0,27.7,Open-Meteo Historical Weather API
2013-06-17,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,14.3,28.9,Open-Meteo Historical Weather API
2013-06-18,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,6.2,29.0,Open-Meteo Historical Weather API
2013-06-19,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,29.0,27.9,Open-Meteo Historical Weather API
2013-06-20,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,9.7,28.6,Open-Meteo Historical Weather API
2013-06-21,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.3,29.5,Open-Meteo Historical Weather API
2013-06-22,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,2.0,29.5,Open-Meteo Historical Weather API
2013-06-23,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,4.5,29.7,Open-Meteo Historical Weather API
2013-06-24,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.8,29.9,Open-Meteo Historical Weather API
2013-06-25,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,7.4,29.3,Open-Meteo Historical Weather API
2013-06-26,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,13.3,27.8,Open-Meteo Historical Weather API
2013-06-27,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,12.8,28.1,Open-Meteo Historical Weather API
2013-06-28,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,26.1,27.0,Open-Meteo Historical Weather API
2013-06-29,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.3,27.5,Open-Meteo Historical Weather API
2013-06-30,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,2.6,27.2,Open-Meteo Historical Weather API
2013-07-01,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.8,27.9,Open-Meteo Historical Weather API
2013-07-02,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.7,29.0,Open-Meteo Historical Weather API
2013-07-03,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.7,29.3,Open-Meteo Historical Weather API
2013-07-04,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,13.3,29.4,Open-Meteo Historical Weather API
2013-07-05,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,16.6,28.6,Open-Meteo Historical Weather API
2013-07-06,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,14.4,27.7,Open-Meteo Historical Weather API
2013-07-07,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,19.8,28.1,Open-Meteo Historical Weather API
2013-07-08,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,33.4,26.5,Open-Meteo Historical Weather API
2013-07-09,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,10.8,27.6,Open-Meteo Historical Weather API
2013-07-10,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,27.1,27.2,Open-Meteo Historical Weather API
2013-07-11,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,12.3,27.8,Open-Meteo Historical Weather API
2013-07-12,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,3.1,28.8,Open-Meteo Historical Weather API
2013-07-13,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,2.0,28.5,Open-Meteo Historical Weather API
2013-07-14,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,4.6,28.6,Open-Meteo Historical Weather API
2013-07-15,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.1,29.7,Open-Meteo Historical Weather API
2013-07-16,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,2.1,30.0,Open-Meteo Historical Weather API
2013-07-17,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.0,29.5,Open-Meteo Historical Weather API
2013-07-18,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,5.2,28.1,Open-Meteo Historical Weather API
2013-07-19,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,2.0,28.2,Open-Meteo Historical Weather API
2013-07-20,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,3.2,28.8,Open-Meteo Historical Weather API
2013-07-21,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.2,28.7,Open-Meteo Historical Weather API
2013-07-22,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.9,29.5,Open-Meteo Historical Weather API
2013-07-23,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,3.4,29.9,Open-Meteo Historical Weather API
2013-07-24,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.5,29.4,Open-Meteo Historical Weather API
2013-07-25,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,3.4,29.0,Open-Meteo Historical Weather API
2013-07-26,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,6.0,29.0,Open-Meteo Historical Weather API
2013-07-27,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.3,27.9,Open-Meteo Historical Weather API
2013-07-28,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.7,27.4,Open-Meteo Historical Weather API
2013-07-29,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.6,29.1,Open-Meteo Historical Weather API
2013-07-30,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.4,29.6,Open-Meteo Historical Weather API
2013-07-31,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,14.0,29.0,Open-Meteo Historical Weather API
2013-08-01,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,1.3,28.7,Open-Meteo Historical Weather API
2013-08-02,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,13.6,28.0,Open-Meteo Historical Weather API
2013-08-03,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,0.9,29.7,Open-Meteo Historical Weather API
2013-08-04,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,20.6,28.8,Open-Meteo Historical Weather API
2013-08-05,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,22.8,27.7,Open-Meteo Historical Weather API
2013-08-06,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,6.4,28.4,Open-Meteo Historical Weather API
2013-08-07,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,6.1,27.4,Open-Meteo Historical Weather API
2013-08-08,Bihar,Muzaffarpur,26.12259,85.39055,Muzaffarpur,18.4,26.8,Open-Meteo Historical Weather API
